Feature,Importance
Return_3H,0.055153523
Return_2H,0.043596037
BB_Position,0.041902147
Return_1H,0.037346613
BB_Lower,0.0368333
BB_Middle,0.035963804
Close,0.035703674
Close_Lag_3,0.03555024
ATR_Ratio,0.03521943
Low,0.03438141
EMA_26,0.034375757
Volume_Ratio,0.034292877
Dist_BB_Upper,0.034037758
Volume,0.033739608
Close_Lag_1,0.033657707
Close_Lag_2,0.03344466
BB_Upper,0.03333214
EMA_12,0.032893192
ATR_14,0.032763556
Dist_MA50_1D,0.03273692
High,0.032565217
MA50_1D,0.03205849
Volatility_24H,0.031674847
RSI_14,0.031512685
Dist_BB_Lower,0.031148
Volume_MA20,0.030988166
EMA_Spread,0.030796796
Open,0.026217023
Trend_1D,0.026114425
