Feature,Importance
Return_2H,0.08553847
Return_3H,0.05515987
Dist_EMA12,0.045640483
Return_1H,0.038722374
Low,0.035901845
Body_Size,0.03528969
EMA_12,0.0345452
EMA_Spread,0.0334472
High,0.032747664
Dist_BB_Upper,0.030034754
ATR_14,0.02954746
RSI_14,0.02944421
ATR_Ratio,0.028678847
Close_Lag_2,0.02849878
Volatility_24H,0.027665533
Volume_Change,0.02762336
Volume_MA20,0.027477069
BB_Upper,0.02711848
Candle_Range,0.027000947
Close_Lag_3,0.026908802
Dist_BB_Lower,0.0267789
Open,0.025500095
Volume_Ratio,0.0250937
Dist_MA50_1D,0.024742687
BB_Lower,0.02453832
BB_Position,0.024361834
Trend_Strength,0.022946868
Dist_EMA26,0.022369428
Volume,0.022280203
MA50_1D,0.021092651
BB_Middle,0.018777706
Close,0.018305376
EMA_26,0.016221128
Close_Lag_1,0.0
Trend_1D,0.0
RSI_Overbought,0.0
RSI_Oversold,0.0
